271,345
279,347
282,348
329,295
329,306
386,295
401,361
424,386
879,622
920,667
956,684
978,696
983,707
989,716
987,716
969,731
958,736
954,832
954,835
938,788
936,996
935,984
933,991
927,768
922,925
919,919
914,918
910,916
910,932
903,927
897,909
866,878
864,823
856,885
838,812
825,810
816,856
807,888
803,799
789,883
788,826
769,802
768,813
759,791
721,741
720,660
716,749
713,737
713,767
712,692
709,687
703,679
693,632
688,665
685,797
679,651
662,638
648,614
617,605
567,580
551,512
536,502
535,554
526,501
518,550
474,504
452,516
440,515
435,516
428,530
423,496
414,461
392,443
389,441
386,492
370,401
325,384
314,376
271,345
