157,106
207,61
207,62
222,50
232,57
238,58
248,61
271,71
272,72
288,79
295,83
297,83
298,84
324,88
331,81
356,66
381,52
392,52
415,59
416,59
422,60
424,64
446,74
448,76
458,85
460,85
472,81
473,81
483,75
490,81
490,84
515,106
523,109
527,128
529,126
545,160
544,240
544,258
544,274
543,248
543,271
543,342
543,348
543,352
542,330
542,337
542,345
540,377
533,389
533,392
528,398
527,399
518,402
517,403
498,409
484,408
477,407
466,407
450,410
419,390
410,426
407,397
405,425
397,356
394,307
389,324
387,296
385,295
374,300
368,302
360,276
358,270
358,292
356,280
355,283
354,236
339,220
305,201
275,162
256,157
183,124
157,106
0,0
415,469
463,408
508,405
510,404
524,501
550,505
556,395
572,459
573,446
584,333
587,333
591,428
593,404
613,341
614,341
619,323
622,401
629,370
631,373
633,376
661,507
668,509
675,513
681,520
745,539
746,540
764,580
759,598
754,647
753,651
747,633
738,667
727,666
711,654
695,639
694,631
689,625
651,619
648,616
645,612
631,583
628,579
626,575
608,569
583,545
573,529
552,517
474,501
469,512
459,516
439,516
425,507
417,482
415,469
0,0
543,283
544,213
544,253
545,169
550,139
556,146
561,146
586,139
643,153
657,148
669,145
658,174
657,173
632,261
630,310
605,325
589,367
589,377
573,393
546,398
543,314
543,335
543,283
0,0
572,450
573,449
586,436
588,431
612,339
615,398
622,400
633,391
634,381
637,350
651,357
671,367
672,367
710,386
735,389
761,389
799,389
801,394
797,426
796,398
794,441
788,447
769,482
768,478
754,495
749,503
747,510
743,521
739,538
715,525
698,520
668,508
612,474
612,476
610,472
608,470
574,458
572,450
0,0
8,102
21,101
43,99
43,101
49,97
49,103
49,120
58,95
61,94
62,68
64,70
67,94
69,98
71,98
75,50
77,46
78,82
79,43
79,50
81,52
84,38
99,10
111,5
113,7
119,9
127,17
138,23
144,26
154,98
157,30
161,32
161,96
161,110
162,109
167,35
169,93
188,126
190,78
196,75
197,74
197,136
198,139
198,140
200,41
210,45
211,47
216,50
221,52
221,53
222,52
233,144
237,145
275,162
278,164
288,172
290,177
293,181
295,189
327,212
330,213
354,231
357,242
358,256
347,280
334,284
329,288
328,308
327,314
327,319
313,347
309,347
307,345
296,336
259,334
247,335
234,386
227,390
224,326
224,464
221,324
221,414
220,314
220,465
218,346
217,311
215,339
215,342
214,331
213,308
213,309
210,304
206,452
201,408
199,396
198,408
198,448
119,423
116,423
107,420
102,419
98,417
93,416
91,414
90,415
90,416
88,176
87,165
86,149
86,409
86,416
85,410
84,182
81,187
76,208
74,209
67,215
64,133
60,219
57,367
56,220
55,136
52,218
50,218
50,357
48,246
47,223
45,225
45,226
42,337
41,336
37,121
34,261
33,264
33,288
33,318
32,120
32,282
32,310
30,282
21,112
8,102
0,0
632,349
633,263
637,247
638,274
638,294
642,213
642,214
644,205
644,224
644,238
646,235
655,177
659,172
678,170
682,169
683,168
688,139
690,139
695,115
696,122
697,124
702,99
704,101
708,139
714,119
715,118
716,136
716,158
719,133
720,130
720,155
723,151
725,153
726,162
735,186
736,189
736,389
752,219
752,227
759,237
759,239
763,245
775,262
778,266
779,389
780,389
787,279
787,280
789,389
790,287
798,389
801,393
821,321
844,349
844,350
851,358
853,359
853,360
860,370
863,374
869,381
879,385
906,412
920,428
921,432
935,450
945,463
964,482
998,497
994,524
993,531
991,496
987,523
985,496
983,494
982,494
975,490
975,492
971,487
970,510
962,507
945,505
942,511
939,539
922,641
922,647
921,569
921,623
921,640
921,651
920,582
920,584
920,600
918,558
918,571
903,653
903,655
888,643
845,590
841,591
841,592
808,580
797,435
795,420
795,422
791,586
776,584
769,481
768,476
768,581
761,577
755,495
749,501
747,509
745,536
714,387
691,376
676,369
668,365
658,361
654,359
632,349
0,0
318,378
332,285
345,279
393,348
394,308
395,309
795,586
812,582
827,590
828,590
835,593
866,611
910,664
916,665
981,700
965,732
955,828
953,829
953,833
944,753
942,751
937,759
931,979
928,947
923,935
921,920
902,916
901,912
893,898
871,869
865,878
855,823
841,811
841,812
818,859
815,842
812,846
799,829
785,880
769,783
754,869
753,648
732,666
725,869
716,765
713,710
712,711
709,690
709,718
695,791
694,633
689,664
681,654
678,809
675,652
634,586
541,502
534,553
473,510
458,516
451,516
435,516
425,527
417,485
416,481
411,520
399,457
399,459
391,476
318,378
0,0
195,405
222,393
225,391
236,373
238,374
257,389
262,393
283,403
288,404
308,420
312,435
313,409
320,441
312,453
312,457
292,467
279,485
241,501
236,492
224,480
216,466
198,408
195,405
0,0
